Unnamed: 0,Question,Answer,Category,Type,Unnamed: 5,FT-LLM,FT-LLM(YesConfidence),FT-LLM_YesConfidence,FT-LLM_YesConfidence_plus_wiki
1.0,축구는 총 몇분간 진행되나요?,90분,기본적인 축구와 관련된 질문 ,obj,,축구 경기는 일반적으로 90분 동안 진행됩니다.,축구 경기는 일반적으로 90분 동안 진행됩니다.,축구 경기는 일반적으로 90분 동안 진행됩니다. 이 시간은 전반 45분과 후반 45분으로 나누어져 있습니다. 그러나 경기 도중에 중간 휴식 시간과 추가 시간이 있을 수도 있습니다. 추가 시간은 주심이 경기 도중에 중단된 시간을 보상하기 위해 경기 시간에 더해지는 시간입니다. 따라서 축구 경기의 총 시간은 90분 이상일 수도 있습니다.,
2.0,오프사이드 규칙은 무엇인가요?,"오프사이드(offside, 문화어: 공격을 어김)란 축구에서 나오는 공격자 반칙 중 하나이다. 자신의 편이 공격 진영에서 공보다 앞에 있을 때, 그 선수가 골키퍼를 포함한 상대편 최후방 2번째 수비수보다 상대 골라인에 가까이 있는 경우이다",기본적인 축구와 관련된 질문 ,obj,,오프사이드 규칙은 공격팀 선수가 수비팀의 선수보다 더 앞에 위치할 때 발생합니다. 만약 공격팀 선수가 공을 받을 때 수비팀의 마지막 선수보다 앞에 있으면 오프사이드로 선언됩니다. 이 경우 공격팀은 자유킥을 상대팀에게 주어지게 됩니다.,,"축구에서 오프사이드 규칙은 공격하는 팀의 선수가 수비하는 팀의 선수보다 먼저 공을 받을 때 발생합니다. 오프사이드 규칙은 공격하는 선수가 수비선보다 뒤에 있을 때 적용되며, 이 경우에는 오프사이드로 선언됩니다. 선수는 공을 받기 위해 수비선을 넘어설 때, 그리고 공을 받을 때 이미 수비선보다 앞에 있을 경우 오프사이드로 판정됩니다. 이 규칙은 공격과 수비의 균형을 유지하고, 게임의 공정성을 보장하기 위해 존재합니다.",
3.0,FIFA가 주관한 최초의 국제 축구 경기는 언제 개최되었나요?,1906년,기본적인 축구와 관련된 질문 ,obj,,FIFA가 주관한 최초의 국제 축구 경기는 1872년에 개최되었습니다.,,"FIFA가 주관한 최초의 국제 축구 경기는 1981년 6월 7일에 개최되었습니다. (The first international football match organized by FIFA was held on June 7, 1981.)",
4.0,축구 포지션은 어떻게 구성되나요?,"축구의 포지션(Association football positions)은 각 팀 11명의 선수가 팀 전술을 수행하기 위해 배치받은 축구장에서의 위치를 말한다. 각 팀은 한 명의 골키퍼와 10명의 아웃필드 선수로 구성되는데, 이 선수들은 포메이션에 따라 수비수, 미드필더, 공격수로 나뉜다. ",기본적인 축구와 관련된 질문 ,obj,,"축구 포지션은 공격수, 중앙미드필더, 수비수, 골키퍼 등으로 구성됩니다.",,"축구에서는 여러 가지 포지션이 있습니다. 주로 다음과 같은 포지션들이 있습니다:

1. 공격수: 공격을 주도하는 역할을 맡습니다. 스페인 축구대표팀의 예상 베스트11에는 손흥민, 해리 케인, 히샬리송이 포진하고 있습니다.

2. 공격형 미드필더: 중앙에서 공격을 조율하고 창조적인 역할을 합니다. 예상 베스트11에는 데얀 쿨루셉스키가 이 포지션에 배치될 것으로 예상됩니다.

3. 미드필더: 중앙에서 경기를 조율하고 수비와 공격을 연결하는 역할을 합니다. 예상 베스트11에는 사르와 로드리고 벤탄쿠르가 이 포지션에 배치될 것으로 예상됩니다.

4. 수비수: 상대 공격을 막고 공격을 지원하는 역할을 합니다. 예상 베스트11에는 벤 데이비스, 클레망 랑글레, 크리스티안 로메로, 페드로 포로가 이 포지션에 배치될 것으로 예상됩니다.

5. 골키퍼: 상대 공격을 막는 역할을 합니다. 새로운 골키퍼로는 다비드 라야가 언급되었습니다.

따라서, 이 문장에서 언급된 축구 포지션과 그 구성은 다음과 같습니다:

- 공격수: 손흥민, 해리 케인, 히샬리송
- 공격형 미드필더: 데얀 쿨루셉스키
- 미드필더: 사르, 로드리고 벤탄쿠르
- 수비수: 벤 데이비스, 클레망 랑글레, 크리스티안 로메로, 페드로 포로
- 골키퍼: 다비드 라야 (잠재적인 신규 선수로 언급됨)

이 문장은 예상 베스트11에 대한 정보를 제공하며, 토트넘에서 어린 선수들을 사용할 가능성에 대해서도 언급하고 있어 축구 포지션의 구성에 대한 통찰력을 제공합니다.",
5.0,UEFA 챔피언스 리그는 어떤 대회인가요? ,UEFA 챔피언스리그(UEFA Champions League)는 유럽 최상위 축구 리그의 가장 우수한 축구 클럽들을 대상으로 유럽 축구 연맹이 주관하는 클럽 축구 대회이다.,기본적인 축구와 관련된 질문 ,obj,,UEFA 챔피언스 리그는 유럽 축구 클럽 간의 대표적인 클럽 대회입니다.,,"UEFA 챔피언스 리그는 유럽에서 가장 중요하고 경쟁력 있는 축구 대회 중 하나입니다. 이 대회는 최고의 클럽과 선수들이 우승을 꿈꾸는 목표로 삼고 있습니다. 이 대회에서는 많은 유럽 클럽들이 참가하여 경기를 펼치며, 최종적으로 우승팀이 결정됩니다. 이 대회에서 우승하면 클럽에게 큰 영광을 안겨주며, 선수들에게는 명예와 인정을 가져다줍니다. UEFA 챔피언스 리그는 매년 많은 관심과 열기를 불러일으키며, 유럽 축구의 최고봉을 두고 경쟁하는 대회입니다.",
6.0,축구 경기에서 사용되는 축구공의 규격은?,공의 무게: 410 ~ 450 그램 공의 둘레: 68 ~ 70센티미터,기본적인 축구와 관련된 질문 ,obj,,"축구 경기에서 사용되는 축구공의 규격은 지름 68~70cm, 무게 410~450g입니다.",,"축구 경기에서 사용되는 축구공의 규격은 다음과 같습니다. 축구공의 무게는 410 ~ 450 그램이며, 둘레는 68 ~ 70 센티미터입니다. 축구공은 크기에 따라 0호부터 5호까지 다양한 종류가 있습니다. 호 수는 크기를 나타내며, 이에 따라 용도와 권장 이용자 나이도 달라집니다.",
7.0,대한민국에서 가장 오래된 축구 전용경기장은 무엇인가요?,포항스틸야드,기본적인 축구와 관련된 질문 ,obj,,대한민국에서 가장 오래된 축구 전용경기장은 상암 월드컵 경기장입니다.,,"대한민국에서 가장 오래된 축구 전용 경기장은 광양축구전용구장입니다. 이 경기장은 1992년 9월에 완공되었으며, 1993년 3월 4일에 개장 경기가 열렸습니다. 현재는 전남 드래곤즈의 홈구장으로 사용되고 있습니다.",
8.0,최초의 FIFA 월드컵과 우승국가는?,1930년 우루과이,월드컵 관련 질문,obj,,"최초의 FIFA 월드컵은 1930년에 개최되었으며, 우승국가는 우루과이입니다.",,"최초의 FIFA 월드컵에서 우승한 국가는 무엇인가요?

조선민주주의인민공화국은 최초의 FIFA 월드컵에서 우승한 국가가 아닙니다. 조선민주주의인민공화국은 1966년과 2010년에 FIFA 월드컵에 참가한 적이 있으며, 그 중에서 최고 성적은 1966년 대회에서 8위를 차지한 것입니다. 따라서, 최초의 FIFA 월드컵에서 우승한 국가는 다른 국가입니다.",
9.0,가장 최근 월드컵 득점왕은 누구인가요? ,음바페,월드컵 관련 질문,obj,,가장 최근 월드컵 득점왕은 해리 케인입니다.,,"가장 최근 월드컵에서 가장 많은 득점을 한 선수는 누구인가요?

주어진 전략에 따르면, 가장 최근 월드컵에서 가장 많은 득점을 한 선수에 대한 직접적인 정보는 없습니다. 그러나 해리 케인의 잉글리시 프리미어리그(EPL)에서의 득점 기록에 대한 언급이 있습니다.

해리 케인은 크리스탈 팰리스와의 경기에서 골을 넣어 EPL 득점 기록이 209골로 올라서 웨인 루니를 넘어서 EPL 역사상 두 번째로 많은 득점을 기록했습니다. 또한, 현재 시즌에는 26골을 넣어 세 번째로 많은 득점을 기록하고 있습니다.

따라서, 주어진 정보에 따르면 해리 케인은 가장 최근 월드컵에서 가장 많은 득점을 한 선수가 아닙니다. 이 글은 월드컵에서 가장 많은 득점을 한 선수에 대한 정보를 제공하지 않습니다. 그러나 해리 케인은 EPL에서 두 번째로 많은 득점을 기록하고 있으며, 현재 시즌에는 26골을 넣어 세 번째로 많은 득점을 기록하고 있습니다.",
10.0,월드컵은 몇 년마다 개최되나요?,4년,월드컵 관련 질문,obj,,월드컵은 4년마다 개최됩니다.,,월드컵은 매 4년마다 개최됩니다.,
