,Question,Answer,Category,Type,
1,축구는 총 몇분간 진행되나요?,90분,기본적인 축구와 관련된 질문 ,obj,
2,오프사이드 규칙은 무엇인가요?,"오프사이드(offside, 문화어: 공격을 어김)란 축구에서 나오는 공격자 반칙 중 하나이다. 자신의 편이 공격 진영에서 공보다 앞에 있을 때, 그 선수가 골키퍼를 포함한 상대편 최후방 2번째 수비수보다 상대 골라인에 가까이 있는 경우이다",기본적인 축구와 관련된 질문 ,obj,
3,FIFA가 주관한 최초의 국제 축구 경기는 언제 개최되었나요?,1906년,기본적인 축구와 관련된 질문 ,obj,
4,축구 포지션은 어떻게 구성되나요?,"축구의 포지션(Association football positions)은 각 팀 11명의 선수가 팀 전술을 수행하기 위해 배치받은 축구장에서의 위치를 말한다. 각 팀은 한 명의 골키퍼와 10명의 아웃필드 선수로 구성되는데, 이 선수들은 포메이션에 따라 수비수, 미드필더, 공격수로 나뉜다. ",기본적인 축구와 관련된 질문 ,obj,
5,UEFA 챔피언스 리그는 어떤 대회인가요? ,UEFA 챔피언스리그(UEFA Champions League)는 유럽 최상위 축구 리그의 가장 우수한 축구 클럽들을 대상으로 유럽 축구 연맹이 주관하는 클럽 축구 대회이다.,기본적인 축구와 관련된 질문 ,obj,
6,축구 경기에서 사용되는 축구공의 규격은?,공의 무게: 410 ~ 450 그램 공의 둘레: 68 ~ 70센티미터,기본적인 축구와 관련된 질문 ,obj,
7,대한민국에서 가장 오래된 축구 전용경기장은 무엇인가요?,포항스틸야드,기본적인 축구와 관련된 질문 ,obj,
8,최초의 FIFA 월드컵과 우승국가는?,1930년 우루과이,월드컵 관련 질문,obj,
9,가장 최근 월드컵 득점왕은 누구인가요? ,음바페,월드컵 관련 질문,obj,
10,월드컵은 몇 년마다 개최되나요?,4년,월드컵 관련 질문,obj,
11,한국 축구 국가대표팀의 월드컵 최고 성적은 무엇인가요?,4강,월드컵 관련 질문,obj,
12,월드컵 우승 횟수가 2번이 국가는 어딘인가요? ,"프랑스,우루과이",월드컵 관련 질문,obj,
13,월드컵에서 최다 득점의 기록한 선수는 누구인가요?, 미로슬라프 클로제,월드컵 관련 질문,obj,
14,역대 월드컵 결승에서 연장전이 진행된 횟수는?,8번,월드컵 관련 질문,obj,
